field_1,route_n,next_stop_,name,bus,tram,trolley,minibus,lat,lon,Широта.(МС,Долгота.(М,n_bus,n_tram,n_trolley,n_minibus,n_all,NA,name_2,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,name_3,place,name_en,name_ru,boundary,cladr_code,population,addr_regio,admin_leve,addr_count,addr_distr,addr_postc,landuse,addr_city,source,wikipedia,populati_1,fixme,cladr_name,cladr_suff,note,oktmo_user,old_name,official_s,is_in_city,website,descriptio_2,name_udm,is_in,source_url,name_de,name_lt,start_date,name_os,source_ref,name_uk,contact_we,official_n,pop,denspop
5313,96,"130,694745774057",42-й дом,"98, 96, 94, 57, 34",NA,8,"98, 96, 94, 93, 73, 34, 20",47.20770,39.61752,420282.47126,2196636.10330,5,0,1,7,13,2,Тружиников-Плевен,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
9211,96,"177,019938343521",Аптека,"98, 96, 94, 57, 34",NA,12,"98, 96, 94, 93, 73, 34, 20, 10",47.20753,39.61581,420265.84040,2196506.22405,5,0,1,8,14,5,ГПЗ-Кашира-Извилистая-Краснодар-Коммун-Малина,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
11504,96,"406,496280680231",Хладокомбинат,"34, 57, 94, 96, 98, 32",NA,8,"34, 20, 25, 56, 73, 93, 94, 96, 98, 23",47.20717,39.61353,420228.84735,2196332.79028,6,0,1,10,17,106,ГПЗ-Кашира-Извилистая-Краснодар-Коммун-Малина,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
8494,96,"149,949991698984",ул. 2-я Краснодарская,"34, 57, 94, 96, 98, 32",NA,8,"34, 20, 25, 56, 73, 93, 94, 96, 98, 23",47.20352,39.61337,419823.28069,2196313.54638,6,0,1,10,17,81,ГПЗ-Кашира-Извилистая-Краснодар-Коммун-Малина,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
1985,96,"444,534091163794",ГПЗ-10,"98, 96, 94, 57, 34а, 34, 32",NA,NA,"98, 96, 94, 93, 44, 20",47.20009,39.61318,419442.21212,2196292.45745,7,0,0,6,13,20,ГПЗ-Кашира-Извилистая-Краснодар-Коммун-Малина,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
8031,96,NA,Ст. Первомайская,"96, 94",NA,NA,"98, 96, 94",47.20029,39.60731,419472.27041,2195848.07979,2,0,0,3,5,77,ГПЗ-Кашира-Извилистая-Краснодар-Коммун-Малина,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
1986,98,"382,096171398681",ГПЗ-10,"98, 96, 94, 57, 34а, 34, 32",NA,NA,"98, 96, 94, 93, 44, 20",47.20009,39.61318,419442.21212,2196292.45745,7,0,0,6,13,13,ГПЗ-Кашира-Извилистая-Краснодар-Коммун-Малина,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
8495,98,"149,949991698984",ул. 2-я Краснодарская,"34, 57, 94, 96, 98, 32",NA,8,"34, 20, 25, 56, 73, 93, 94, 96, 98, 23",47.20352,39.61337,419823.28069,2196313.54638,6,0,1,10,17,57,ГПЗ-Кашира-Извилистая-Краснодар-Коммун-Малина,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
11505,98,"177,019938343521",Хладокомбинат,"34, 57, 94, 96, 98, 32",NA,8,"34, 20, 25, 56, 73, 93, 94, 96, 98, 23",47.20717,39.61353,420228.84735,2196332.79028,6,0,1,10,17,72,ГПЗ-Кашира-Извилистая-Краснодар-Коммун-Малина,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
9212,98,"130,694745774057",Аптека,"98, 96, 94, 57, 34",NA,12,"98, 96, 94, 93, 73, 34, 20, 10",47.20753,39.61581,420265.84040,2196506.22405,5,0,1,8,14,7,ГПЗ-Кашира-Извилистая-Краснодар-Коммун-Малина,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
