Наименование остановки,Автобус,Трамвай,Троллейбус,Маршрутное такси,"Широта 
(ГСК-2011)","Долгота 
(ГСК-2011)","Широта 
(МСК-61)","Долгота 
(МСК-61)"
бул. Комарова,"45, 46, 47, 77, 94, 21",,,"38, 11, 21, 95, 44, 45, 47, 66, 77, 94, 19",47.29004,39.70373,"429325,815553861","2203317,48612374"
бул. Новоселов,"45, 47, 77, 94, 21",,,"30, 11, 21, 95, 44, 45, 47, 66, 77, 94, 19",47.28298,39.71148,"428531,330387987","2203890,90479617"
ВАЗ,,,,"48, 40, 16",47.23779,39.58376,"423672,967351127","2194138,47793629"
ВАЗ,,,,"48, 40, 16",47.23793,39.58384,"423688,422890784","2194144,81445215"
Верхненольная,"3а, 3",,,"98, 80",47.22861,39.75029,"422439,63673409","2206731,39483453"
Вет.клиника,96,,,"96, 30, 19",47.28455,39.72668,"428687,224823082","2205043,62988367"
Вет.клиника,94,,,"94, 30, 19",47.28469,39.72683,"428702,606304605","2205055,22824112"
Военвед,"99, 96, 94, 49, 10",,,"99, 96, 94, 49, 10",47.26279,39.66183,"426349,209296333","2200096,73843996"
Военвед,"49, 10, 99, 96, 94",,,"99, 96, 94, 49, 14, 10",47.26292,39.66083,"426364,944913297","2200021,30283349"
Военкомат,"98, 57, 34",,,"98, 34",47.20827,39.64071,"420315,356290577","2198394,04825928"
Военкомат,"34, 98, 57",,12,"98, 44, 34",47.20821,39.64111,"420308,164714629","2198424,23689496"
Военкомат,"98, 67, 11",,,,47.25672,39.7725,"425538,386776183","2208461,85994484"
Военная часть,"96, 94",,,"96, 94, 10",47.25775,39.63625,"425822,020002544","2198151,14736124"
Военная часть,"96, 94",,,"96, 94, 10",47.25781,39.63518,"425830,089886992","2198070,27668236"
Военторг Новостройка,"99, 96, 94, 49, 10",,,"99, 96, 94, 49, 10",47.26057,39.65255,"426114,347770753","2199390,20957009"
"Вокзал ""Сельмаш""","96, 42а, 42, 35а, 35, 18л",,,"96, 66, 63, 58, 14",47.25532,39.76402,"425392,743580617","2207817,57858153"
ВОС,"64, 32, 16",,,,47.21175,39.60893,"420744,144002172","2195993,26149395"
ВОС,"64, 32, 16",,,,47.21182,39.60842,"420752,606589713","2195954,76439165"
Гараж,32,,,,47.21629,39.5757,"421293,734639846","2193485,08328728"
Гараж,32,,,,47.21654,39.57558,"421321,691733687","2193476,49505166"
Гараж МВД,"39, 31",,,,47.20186,39.7104,"419514,273065531","2203662,03294877"
Гаражи,"92a, 90а, 69a, 22",,,,47.29353,39.75738,"429648,589158925","2207381,78312763"
Гаражи,"92a, 90а, 69, 22",,,,47.29343,39.75722,"429637,662069568","2207369,5062998"
Гаражная,"98, 67",,,52,47.24881,39.76837,"424663,863392603","2208135,56275964"
Гвардейская площадь,21,,5,"98, 88, 80, 67, 59, 55, 52, 40, 29, 21",47.22457,39.69713,"422055,491079642","2202698,20637888"
Гвардейская площадь,21,,5,"98, 88, 80, 67, 59, 55, 52, 40, 29, 21",47.22438,39.69542,"422036,504413587","2202568,35040192"
ГИБДД диагностика,,,,"48, 40, 16",47.23787,39.59125,"423671,713808707","2194705,75082967"
ГИБДД диагностика,,,,"48, 40, 16",47.23784,39.59134,"423668,257019926","2194712,50576376"
Гигант,,,,48,47.21399,39.68785,"420890,908362579","2201975,8561964"
Гигант,,,,48,47.21419,39.68751,"420913,570527941","2201950,47027725"
Гимназия 239,7,,,,47.26927,39.81006,"426890,16813809","2211325,75635183"
Гимназия 239,7,,,,47.26935,39.80999,"426899,141789362","2211320,59316395"
Гипсовый завод,4,,12,"73, 8",47.1963,39.62573,"419004,2538571","2197236,04272324"
Гипсовый завод,4,,8,"73, 4",47.19647,39.62563,"419023,28493924","2197228,79389163"
Главная проходная РСМ,"89, 3а, 14, 18л, 28, 35, 35а, 36, 42, 3, 54, 96, 42а",,,"96, 14, 24, 29, 30, 58, 59, 63, 79",47.25797,39.76549,"425685,615881038","2207933,44585205"
