Наименование остановки,Автобус,Трамвай,Троллейбус,Маршрутное такси,"Широта 
(ГСК-2011)","Долгота 
(ГСК-2011)","Широта 
(МСК-61)","Долгота 
(МСК-61)"
ул. Мадояна,,,,52,47.23762,39.6324,"423589,142406479","2197820,98806158"
ул. Мадояна,,7,,,47.21861,39.65911,"421441,06713928","2199807,50820069"
ул. Мадояна,,7,,,47.21882,39.6594,"421464,040727295","2199829,86996284"
ул. Максима Горького,,7,,,47.22476,39.70519,"422066,583231429","2203308,97881436"
ул. Максима Горького,"83, 5, 6, 9, 22, 27, 42, 42а, 45, 49, 51, 2, 61, 60",,,"99, 6, 11, 12, 38, 43, 44, 45, 58, 78, 90",47.22512,39.70555,"422106,159002276","2203336,8988369"
ул. Максима Горького,"6, 99, 2, 90а, 9, 27, 35, 35а, 51, 58, 60, 61, 78, 90, 47",,,"78, 6, 11, 12, 38, 43, 44, 99, 58, 90, 47",47.22541,39.70508,"422138,982230391","2203301,83178342"
ул. Малиновского,"96, 94, 71, 67",,,"96, 94, 73, 71, 67, 56, 48, 10",47.23227,39.61493,"423017,421871228","2196487,78792485"
ул. Малиновского,"71, 67",,,"73, 67, 56, 48",47.2324,39.61507,"423031,688417213","2196498,64276912"
ул. Малиновского,,,,52,47.23764,39.61714,"423611,487955008","2196665,5930175"
"ул. Малиновского, 70",26,,,"59, 56, 55, 40, 16",47.22971,39.6141,"422733,921936749","2196419,94210597"
"ул. Малиновского, 70",26,,,"59, 56, 55, 40, 16",47.22911,39.61349,"422668,029078005","2196372,57702376"
ул. Малюгиной,"83, 5, 6, 9, 21, 22, 27, 42, 42а, 45, 49, 51, 2, 61, 60",,,"99, 6, 11, 12, 21, 38, 43, 44, 45, 58, 78, 90",47.22975,39.70346,"422623,484954193","2203187,05717236"
ул. Малюгиной,"35а, 2, 6, 9, 21, 35, 47, 51, 58, 61, 78, 90, 90а, 99, 60, 27",,,"6, 43, 44, 47, 58, 78, 90, 99, 11, 38, 21, 12",47.23023,39.70292,"422677,519052909","2203147,03985433"
ул. Манежная,,7,,,47.21808,39.64586,"421399,261628299","2198802,89470468"
ул. Манежная,,7,,,47.21798,39.64586,"421388,144349447","2198802,7041616"
ул. Манежная,,,,55,47.21831,39.64603,"421424,610688492","2198816,20944869"
ул. Маршальская,,,,52,47.23748,39.62475,"423583,637336199","2197241,48561183"
ул. Маршальская,,,,52,47.2377,39.62359,"423609,625683109","2197154,08053884"
ул. Международная,"98, 26, 34, 34а, 41, 57, 64, 67, 71, 16",,8,"34, 40, 44, 52, 55, 59, 67, 71, 98, 16",47.21159,39.66196,"420656,974857247","2200010,16325292"
ул. Международная,"98, 16, 26, 34, 34а, 41, 57, 64, 67, 15, 71",,12,"34, 40, 44, 52, 55, 59, 67, 71, 98, 16",47.21131,39.6634,"420624,000548986","2200118,72210609"
ул. Мечникова,60,,,,47.24123,39.67381,"423937,013020868","2200963,14884115"
ул. Мечникова,61,,,,47.24209,39.67274,"424033,982600169","2200883,74390766"
ул. Мечникова,51,,,,47.24189,39.67253,"424012,015084743","2200867,47112187"
ул. Мечникова,9,,,,47.24123,39.67199,"423939,327850043","2200825,35394495"
ул. Миронова,"89, 83, 78, 33",,,"83, 78, 56, 25, 23",47.29757,39.74367,"430114,136553716","2206351,94265744"
ул. Миронова,"69a, 69, 54",,,"83, 78, 56, 25, 23",47.29765,39.74356,"430123,162857711","2206343,76469563"
ул. Миронова,"89, 83, 78, 33",,,"83, 78, 56, 25, 23",47.29814,39.74085,"430180,90240603","2206139,67264903"
ул. Можайская,7,,,,47.27134,39.80925,"427121,221566079","2211267,92750873"
ул. Можайская,7,,,,47.2713,39.80935,"427116,660653807","2211275,42743648"
ул. Можайская,7,,,,47.27226,39.81225,"427220,087982013","2211496,47034228"
ул. Молодежная,"42а, 42, 36, 35а, 35, 3а",,,"24, 59, 58",47.26505,39.77975,"426455,972022998","2209024,90297945"
ул. Молодежная,"42, 35, 3а",,,,47.26487,39.77948,"426436,27610597","2209004,16103666"
ул. Московская,"83, 49, 45, 42а, 42, 22, 5",,,45,47.21972,39.71944,"421488,690800088","2204379,12755338"
ул. Муравьева,9,,,"93, 25, 23, 12",47.22875,39.67631,"422546,396940895","2201129,18279823"
ул. Муравьева,9,,,"93, 25, 23, 12",47.22867,39.67494,"422539,242009784","2201025,28454709"
ул. Мурманская,3,,,,47.27274,39.78103,"427309,407098715","2209134,95324686"
ул. Мурманская,3,,,,47.27239,39.78069,"427270,892890204","2209108,62633447"
ул. Нариманова,"18п, 83, 92a, 77, 90а, 2, 21, 22, 33, 45, 46, 47, 63, 65, 90",,6,"90, 47, 21, 25, 45, 56, 63, 65, 66, 83, 92, 77",47.26493,39.72051,"426513,532179374","2204541,53999504"
ул. Нариманова,2,,,,47.26507,39.72209,"426527,161302994","2204661,36267682"
ул. Нариманова,"92a, 21, 22, 33, 45, 46, 47, 63, 65, 77, 78, 90, 18л, 90а",,6,"25, 45, 47, 56, 63, 65, 66, 77, 83, 90, 92, 21",47.26617,39.72146,"426650,22397021","2204615,66480817"
ул. Нариманова,,,,38,47.2639,39.7122,"426409,241276953","2203910,79086716"
ул. Немировича-Данченко,,,,38,47.25568,39.69685,"425514,44422945","2202734,03886246"
ул. Новая,7,,9,"95, 93, 88, 67",47.24631,39.77233,"424381,267013447","2208431,02312378"
ул. Новая,7,,9,"95, 93, 88, 67",47.24584,39.77102,"424330,555914079","2208331,03816559"
ул. Новолесная,11,,,,47.25624,39.78838,"425466,48412269","2209662,99380836"
ул. Обороны,,,,"77, 49",47.21843,39.72032,"421344,198364697","2204443,45953502"
ул. Обсерваторная,,,,"29, 11",47.30204,39.72282,"430636,380485294","2204783,0682583"
ул. Оганова,"99, 96, 94, 49",,,"99, 96, 94, 49, 10",47.26269,39.66575,"426333,071770491","2200393,21903414"
ул. Оганова,"99, 96, 94, 49, 10",,,"94, 49, 14, 10, 99, 96",47.26291,39.66525,"426358,169477007","2200355,79201703"
"ул. Оганова, 23","10, 1",,,"43, 14, 10",47.27038,39.66478,"427189,238746231","2200334,26547759"
ул. Окраинная,51,,,,47.24561,39.67856,"424417,926075874","2201330,92350496"
ул. Окраинная,61,,,,47.24543,39.67796,"424398,674862579","2201285,16545934"
"ул. Орбитальная, 20",,,,77,47.29946,39.70404,"430372,693553889","2203358,12490302"
"ул. Орбитальная, 20",,,,95,47.29892,39.70162,"430315,666510986","2203174,11655759"
"ул. Орбитальная, 42","65, 63",,,"65, 63, 29, 11",47.30063,39.7146,"430489,712054111","2204158,8797851"
"ул. Орбитальная, 42","65, 63",,,"65, 63, 38, 29, 11",47.30052,39.71495,"430477,051990002","2204185,1501545"
"ул. Орбитальная, 54","65, 63",,,"65, 63, 29, 11",47.30116,39.71963,"430542,453877974","2204540,23845312"
"ул. Орбитальная, 54","65, 63",,,"65, 63, 38, 29, 11",47.3011,39.72045,"430534,778143045","2204602,1437846"
"ул. Орбитальная, 64","65, 63",,,"65, 63, 38, 29, 11",47.30167,39.72445,"430593,253311316","2204905,67233205"
"ул. Орбитальная, 64","65, 63",,,"65, 63, 38, 29, 11",47.30163,39.72527,"430587,804904119","2204967,61338232"
"ул. Орбитальная, 70","65, 63",,,"65, 63, 38, 29, 11",47.30244,39.73243,"430669,139952856","2205510,53729027"
"ул. Орбитальная, 70","65, 63",,,"11, 65, 63, 38, 29",47.30244,39.73157,"430670,184264335","2205445,5003648"
ул. Орская,"69a, 28",,,"95, 92, 44",47.27912,39.77325,"428027,806347499","2208557,27465885"
ул. Орская,"36, 28",,,"92, 90, 44",47.27913,39.77446,"428027,497826581","2208648,83770174"
ул. Орская,69,,,95,47.27907,39.77307,"428022,459030685","2208543,56997984"
ул. Орская,"92a, 90а, 69",,,,47.29852,39.78274,"430173,491779978","2209308,48650126"
ул. Осипенко,,7,,,47.21925,39.65158,"421521,923936155","2199238,37260119"
ул. Осипенко,,7,,,47.21913,39.6512,"421509,074475815","2199209,36261154"
ул. Павленко,61,,,,47.2453,39.68416,"424376,385832548","2201754,29892591"
ул. Павленко,51,,,,47.24541,39.68375,"424389,131976291","2201723,46333627"
ул. Панфиловцев,"42а, 42, 35а, 35, 3а",,,"59, 58, 24",47.27353,39.80025,"427374,987613502","2210590,60230578"
ул. Панфиловцев,"42а, 42, 35а, 35, 3а",,,59,47.27327,39.80005,"427346,311943368","2210575,0304714"
ул. Пестеля,9,,,,47.23456,39.67253,"423197,115140733","2200853,77834078"
ул. Пестеля,9,,,,47.23049,39.67135,"422746,142396177","2200756,81849071"
ул. Погодина,22,,,90,47.25534,39.70927,"425461,212572227","2203673,50299149"
ул. Погодина,,,,38,47.26198,39.70614,"426203,281344719","2203448,67854251"
ул. Полевая,9,,,,47.23235,39.67128,"422953,013546958","2200754,99511017"
ул. Попова,6,,,"56, 6",47.24053,39.63912,"423903,86686911","2198335,37786635"
ул. Попова,6,,,"56, 6",47.24047,39.63915,"423897,157338491","2198337,53429675"
"ул. Портовая, 43-45",,,,8,47.21034,39.69277,"420478,952525246","2202341,83763632"
ул. Профинтерна,"17, 6",,,"56, 6",47.25012,39.68919,"424905,911778541","2202143,98956786"
ул. Профинтерна,"17, 6",,,"56, 6",47.25023,39.68802,"424919,61109977","2202055,62501439"
ул. Профсоюзная. 284,37,,,"93, 25, 23, 20, 12",47.22302,39.65525,"421936,308179643","2199523,48192394"
ул. Пушкинская,,,,"98, 80, 55",47.23076,39.741,"422689,819589424","2206031,67252514"
ул. Раевского,9,,,,47.23828,39.67189,"423611,493958535","2200812,26923134"
ул. Родниковая,37,,,"93, 25, 23, 20, 12",47.22842,39.65551,"422536,307055432","2199553,39000665"
ул. С. Разина,,7,,,47.22037,39.66474,"421629,510286007","2200237,25147287"
ул. С. Разина,,7,,,47.21956,39.66351,"421541,035231553","2200142,56673396"
ул. Самойловская,60,,,,47.23412,39.67704,"423142,470886192","2201194,4609553"
ул. Самойловская,9,,,,47.23437,39.67365,"423174,567905945","2200938,23124384"
ул. Самойловская,60,,,,47.23365,39.67834,"423088,572049262","2201292,02504103"
ул. Северо-Кавказская,"99, 96, 94, 49, 1",,,"99, 96, 94, 49, 43, 14",47.26266,39.66951,"426324,935319438","2200677,72293574"
ул. Селиванова,7,,9,"95, 93, 88, 67",47.24815,39.77572,"424581,847847684","2208690,82833574"
ул. Селиванова,7,,9,"95, 93, 88, 67",47.24781,39.77467,"424545,279964769","2208610,75566113"
ул. Селиванова,"98, 67",,,52,47.25051,39.76862,"424852,56405432","2208157,43139842"
ул. Сержантова,"54, 11, 3а, 3",,"5, 1","79, 66, 59, 40, 29, 24, 19",47.25463,39.76776,"425311,614499645","2208099,46955969"
ул. Сержантова,"98, 67",,,52,47.25342,39.77058,"425173,771036294","2208310,83089607"
ул. Скачкова,37,,,20,47.22285,39.66583,"421903,824646744","2200324,46454697"
ул. Скачкова,,7,,,47.2222,39.66552,"421831,958714111","2200299,765461"
ул. Совхозная,32,,,,47.21957,39.57233,"421662,990563783","2193236,41006645"
ул. Совхозная,32,,,,47.21975,39.57219,"421683,193375872","2193226,16805298"
ул. Содружества,6,,,"55, 52, 6",47.22923,39.63329,"422655,234105462","2197872,23489379"
ул. Содружества,6,,,"55, 52, 6",47.22915,39.6334,"422646,196133971","2197880,41114502"
ул. Станиславского,,,,"77, 49",47.21867,39.72047,"421370,696017775","2204455,25294151"
ул. Судостроительная,4,,8,"8, 4",47.19259,39.64377,"418568,188782184","2198595,95363814"
ул. Судостроительная,4,,12,"8, 4",47.19288,39.64438,"418599,635734362","2198642,73283257"
ул. Текучева,60,,,,47.23125,39.6895,"422807,6812234","2202132,66117523"
ул. Текучева,"21, 99, 90, 90а, 78, 6, 27, 35, 35а, 47, 51, 58, 61, 2",,,"99, 21, 6, 11, 38, 43, 44, 47, 58, 90, 78",47.23349,39.7015,"423041,709520378","2203045,46180447"
ул. Текучева,"83, 5, 6, 21, 22, 27, 42, 42а, 45, 49, 51, 2, 61",,,"99, 11, 21, 23, 38, 43, 44, 45, 58, 78, 90, 6",47.23429,39.70138,"423130,79744132","2203037,83653444"
ул. Текучева,"60, 9",,,"93, 25, 23, 12",47.23381,39.70107,"423077,820038827","2203013,4858108"
ул. Текучева,,,,93,47.23395,39.70214,"423092,053167839","2203094,7640822"
ул. Темерницкая,,,,"71, 34, 8, 4",47.21776,39.70768,"421285,285757652","2203484,83691357"
ул. Темерницкая,,,,"48, 20, 16, 12",47.21763,39.70707,"421271,588752991","2203438,39609273"
ул. Темерницкая,"92a, 77, 65, 46, 1",,6,"92, 83, 65",47.22014,39.71877,"421536,205649529","2204329,13692748"
ул. Тимошенко,"10, 1",,,"43, 10",47.27014,39.66505,"427162,211555489","2200354,24522656"
ул. Тимошенко,,,,14,47.26984,39.66116,"427133,84364014","2200059,32241541"
"ул. Тимошенко,22",,,,14,47.26678,39.65579,"426800,55663798","2199647,17890598"
"ул. Тимошенко,32",,,,14,47.26579,39.65259,"426694,622533883","2199403,14050581"
ул. Толмачева,,,,55,47.22134,39.64439,"421763,594423672","2198697,76912942"
ул. Толмачева,,,,55,47.22121,39.64466,"421748,791089839","2198717,97092331"
ул. Турксибская,60,,,,47.23831,39.67549,"423610,253097814","2201084,90162258"
ул. Турксибская,60,,,,47.23806,39.67541,"423582,561335818","2201078,37838549"
ул. Турмалиновская,"83, 5, 22, 33, 42, 42а, 45, 46, 49, 1, 77, 92a, 65",,6,"25, 45, 49, 65, 77, 83, 92",47.24611,39.7129,"424430,597831553","2203931,54856572"
ул. Турмалиновская,"90а, 33, 35, 35а, 46, 47, 58, 65, 77, 1, 90, 92a, 99, 78",,6,"25, 47, 49, 65, 77, 83, 92",47.24589,39.71315,"424405,831424119","2203950,07643592"
ул. Фурмановская,"92a, 21, 33, 45, 46, 47, 63, 65, 77, 18л, 78",,6,"25, 45, 47, 56, 63, 65, 66, 77, 83, 21",47.27162,39.72067,"427257,089968804","2204565,69256675"
ул. Фурмановская,"92a, 21, 22, 33, 45, 46, 47, 63, 65, 77, 83, 90, 18п, 90а",,6,"25, 45, 47, 56, 63, 65, 66, 77, 83, 90, 92, 21",47.27054,39.71999,"427137,855531933","2204512,29266778"
ул. Фурмановская,"90а, 90, 22",,,"92, 90",47.27157,39.7224,"427249,412751552","2204696,50877253"
ул. Фурмановская,,,,38,47.26811,39.70813,"426882,312385537","2203610,4306523"
ул. Фурмановская,,,,38,47.2682,39.70785,"426892,664604318","2203589,40581803"
ул. Цезаря Куникова,"99, 94, 78, 49, 27, 1",,,"99, 94, 78, 49, 44, 43, 23, 14, 11",47.25344,39.69422,"425268,702444052","2202530,85542794"
ул. Цезаря Куникова,"49, 27, 1, 99, 96, 83",,,"99, 96, 78, 49, 44, 43, 23, 14, 11",47.25673,39.69715,"425630,802049395","2202758,6713132"
ул. Центральная,"27, 18п, 18л",,,,47.28426,39.67002,"428725,641283274","2200756,77050115"
ул. Центральная,"27, 18п, 18л",,,,47.28431,39.67035,"428730,779445785","2200781,82866925"
ул. Ченцова,"98, 67, 54, 7, 3а, 3",,"9, 1","95, 79, 66, 24, 19",47.23631,39.75959,"423284,58385028","2207449,10787873"
ул. Ченцова,"98, 67, 54, 7, 3а, 3",,"9, 1","95, 79, 66, 24, 19",47.23705,39.75931,"423367,184857528","2207429,19744479"
ул. Чукотская,,7,,,47.22602,39.6421,"422286,862193173","2198533,2683976"
ул. Чукотская,,7,,,47.22595,39.64209,"422279,093107018","2198532,37729322"
ул. Чукотская,,,,55,47.22644,39.64194,"422333,763128071","2198521,953838"
ул. Чукотская,,,,55,47.22631,39.64224,"422318,920094392","2198544,42517386"
ул. Шишкина,"96, 94, 71, 67",,,"96, 94, 73, 71, 67, 56, 48, 10",47.23231,39.62086,"423014,009706111","2196936,90962302"
ул. Шишкина,"67, 96, 94, 71",,,"96, 94, 73, 71, 67, 56, 48, 10",47.23239,39.6203,"423023,644256619","2196894,65952773"
ул. Щаденко,14,,,"88, 67, 63, 14",47.25365,39.7949,"425171,002631233","2210152,10715555"
ул. Щаденко,14,,,"88, 67, 63, 14",47.25401,39.79504,"425210,863780331","2210163,31411811"
ул. Щербакова,"42а, 42, 36, 35а, 35, 3а, 3",,,"59, 58, 24",47.26391,39.77607,"426333,538734309","2208744,44663214"
ул. Щербакова,3,,,,47.26464,39.77701,"426413,594871386","2208816,84075837"
ул. Щербакова,"42а, 42, 36, 35а, 35, 28",,,"59, 58, 24",47.26419,39.77724,"426363,297285105","2208833,47298113"
ул. Щербакова,"69, 36",,,95,47.27679,39.78396,"427756,248364609","2209363,58351855"
ул. Щербакова,"69a, 36, 28",,,95,47.27734,39.78227,"427819,362749241","2209236,65837542"
Универмаг,,,,4,47.19113,39.62402,"418431,748155071","2197096,45882776"
Универсам,"98, 96, 94, 57, 34",,12,"98, 96, 94, 93, 73, 34, 20, 10",47.20794,39.63049,"420292,039213792","2197619,16189744"
Универсам,"98, 96, 94, 57, 34",,8,"98, 96, 94, 93, 73, 34, 20, 10",47.208,39.62918,"420300,430649456","2197520,0335798"
Университет,"67, 71, 94, 96, 26",,,"40, 10, 20, 25, 96, 52, 59, 67, 71, 73, 93, 94, 23",47.21673,39.63383,"421264,8661699","2197889,09419667"
Университет,"96, 26, 67, 71, 94",,,"25, 23, 20, 71, 40, 73, 52, 59, 67, 96, 94, 93, 10",47.21574,39.63408,"421154,47773908","2197906,12783539"
Участок 2,"69a, 69, 28",,,,47.30463,39.77593,"430860,726387122","2208803,97020667"
Участок 3,"69a, 69, 28",,,,47.30779,39.77024,"431218,721430189","2208379,15403822"
Участок 3,"69a, 69, 28",,,,47.30748,39.77069,"431183,727584742","2208412,64525979"
Участок 5,"69a, 69, 28",,,,47.30721,39.76493,"431160,504567163","2207976,6207173"
Участок 5,"69a, 69, 28",,,,47.30715,39.76497,"431153,786783759","2207979,54112626"
Участок 7,"69a, 69, 28",,,,47.3073,39.76247,"431173,421801633","2207790,75819014"
Участок 7,"69a, 69, 28",,,,47.30727,39.76238,"431170,193186194","2207783,90035965"
Участок 8,"69a, 69, 28",,,,47.30817,39.75918,"431274,046918707","2207543,4962157"
Фабрика,37,,,20,47.22296,39.67225,"421907,86371932","2200810,90584063"
"Фабрика ""Малыш""","45, 47, 78, 94, 21",,,"23, 11, 21, 94, 44, 45, 47, 66, 78, 79, 19",47.29519,39.7012,"429901,508337941","2203135,53032512"
"Филиал часового завода ""Витязь""","69, 42а, 42, 35а, 35, 3а",,,"59, 58, 24",47.2886,39.80325,"429046,946829519","2210842,96106961"
"Филиал часового завода ""Витязь""","69a, 42а, 42, 35а, 35, 3а",,,"59, 58, 24",47.2885,39.80308,"429036,0240684","2210829,93321345"
Фруктовый сад,,,,"56, 40, 16",47.21571,39.61362,"421178,141303835","2196356,27155361"
Хладокомбинат,32,,,"56, 25, 23",47.20694,39.61377,"420202,958596973","2196350,52396531"
Хладокомбинат,"34, 57, 94, 96, 98, 32",,8,"34, 20, 25, 56, 73, 93, 94, 96, 98, 23",47.20717,39.61353,"420228,847350643","2196332,79028015"
Хлебозавод,"96, 94",,,"96, 94, 71, 10",47.24489,39.61419,"424421,408958447","2196456,37633841"
Хлебозавод,"96, 94",,,"96, 94, 71, 10",47.24445,39.61396,"424372,798428687","2196438,10516838"
Хоз. магазин,"10, 1",,,"43, 14, 10",47.26669,39.6657,"426777,830582483","2200396,94935502"
Хоз. магазин,"10, 1",,,"43, 10",47.26695,39.66584,"426806,556739213","2200408,03227732"
ЦГБ,"77, 5, 22, 33, 42, 42а, 45, 46, 1, 65, 83, 92a, 49",,6,"45, 49, 65, 77, 83, 92",47.23437,39.71341,"423124,793064653","2203948,91037132"
ЦГБ,"90а, 33, 35, 35а, 46, 47, 58, 65, 77, 1, 90, 92a, 99, 78",,6,"25, 47, 49, 65, 77, 83, 92",47.23382,39.71394,"423062,994607226","2203988,04778962"
Центральный рынок,,"7, 6, 4, 1",,,47.21725,39.70888,"421227,102388454","2203574,80495404"
Центральный рынок,"99, 92a, 77, 46, 1",,,,47.21824,39.71289,"421332,21094577","2203880,33719286"
Центральный рынок,"78, 33",,,"92, 83",47.21807,39.71276,"421313,47184984","2203870,18270958"
Центральный рынок,"90а, 90, 65, 47",,6,65,47.21811,39.71214,"421318,683584247","2203823,29351268"
Центральный рынок,"61, 51, 27",,,,47.21793,39.71141,"421299,573427496","2203767,67384875"
Центральный рынок,"60, 58, 35а, 35, 9, 2",,,,47.21773,39.71062,"421278,314448621","2203707,47284783"
Центральный рынок,"49, 42а, 42, 5",,,,47.21808,39.71173,"421315,854362835","2203792,18391307"
Центральный рынок,"83, 45, 22",,,,47.21778,39.71037,"421284,181966077","2203688,62725944"
Центральный рынок,"34а, 34, 26",,,44,47.21723,39.70791,"421226,07931323","2203501,29525134"
Центральный рынок,"75, 64, 57, 41, 16, 4",,"12, 8",,47.21695,39.70794,"421194,913739701","2203503,05887754"
Центральный рынок,"71, 15, 6",,,,47.21708,39.70716,"421210,332124818","2203444,21322052"
Центральный рынок,,,,47,47.21602,39.70987,"421089,135432113","2203647,56178089"
Центральный рынок,,,,"11, 6, 99, 90, 78, 58, 45, 43, 38",47.21567,39.70964,"421050,509219574","2203629,50478542"
Центральный рынок,,,,"99, 90, 78, 58, 38, 20, 11, 6",47.21575,39.7094,"421059,699797844","2203611,47045474"
Центральный рынок,,,,45,47.21733,39.71492,"421228,542220459","2204032,45380036"
Церковь,11,,,,47.2584,39.78371,"425712,046509245","2209313,21379773"
Часовой завод,,,,"92, 83, 77, 65, 49, 47",47.22139,39.71929,"421674,533874993","2204370,77369297"
Чемордачка,39,,,,47.21143,39.74903,"420531,190452322","2206605,76454168"
Черепахина,,6,,,47.23834,39.73145,"423544,073631081","2205322,00646253"
Черепахина,,6,,,47.23839,39.73138,"423549,717360372","2205316,79556998"
Шалаш,39,,,,47.21062,39.75267,"420436,7857182","2206880,08956531"
Шаталова,"63, 18л, 92a, 65",,6,"83, 65, 63, 56, 44, 25, 11",47.29079,39.71461,"429395,743052583","2204141,82795159"
Шаталова,"92a, 83, 65, 63, 33, 18п",,6,"95, 83, 65, 63, 56, 44, 25, 11",47.292,39.71387,"429531,175427034","2204088,04461865"
Шеболдаева,"6, 5, 2, 27, 42, 42а, 45, 49, 83, 21, 22",,,"43, 6, 11, 21, 38, 44, 45, 58, 78, 90, 99, 23",47.24811,39.69716,"424672,47314191","2202743,62458431"
Школа,32,,,,47.22409,39.56373,"422177,304919265","2192594,17009394"
Школа,32,,,,47.22373,39.56416,"422136,690365288","2192626,00848879"
Школа,"71, 67, 64, 26, 16",,,"71, 67, 59, 52, 40, 16",47.21229,39.63981,"420763,443555957","2198333,55923634"
Школа,"71, 67, 64, 26, 16",,8,"71, 67, 59, 52, 40, 16",47.21245,39.63934,"420781,844218433","2198298,26182113"
Школа,7,,9,"95, 93, 88",47.25609,39.7984,"425438,236072322","2210421,15778375"
Школа,"92a, 89, 54, 18п",,,"95, 79, 44, 29",47.2873,39.74236,"428973,951286305","2206234,68686693"
Школа,"92a, 89, 54, 18л",,,"95, 79, 44, 29",47.28665,39.74293,"428901,001630802","2206276,65513525"
Школа,"42а, 42, 35а, 35, 3а",,,"59, 58, 24",47.27051,39.79247,"427048,203465421","2209996,79499785"
Школа,"42а, 42, 35а, 35, 3а",,,"59, 24",47.27073,39.79247,"427072,661800033","2209997,16855888"
Школа,"94, 63, 58, 42а, 42, 35а, 35, 18п, 17, 5",,,"94, 66, 63, 58, 14",47.24901,39.73439,"424726,727435326","2205563,6037591"
Школа,"96, 63, 58, 42а, 42, 35а, 35, 18л, 17, 5",,,"96, 66, 63, 58, 14",47.24911,39.73506,"424737,032863489","2205614,5010402"
Школа,"94, 49, 42а, 42, 17, 5, 1",,,"94, 58, 56, 49, 14",47.24971,39.70048,"424846,211766004","2202997,87999039"
Школа №20,"98, 67",,,52,47.25479,39.77197,"425324,444107649","2208418,41168633"
Школьная,68,,,,47.22999,39.80465,"422529,431950648","2210850,37901592"
Элеватор,39,,,,47.20699,39.71692,"420076,553832984","2204165,29157879"
Элеватор,"39, 31",,,,47.20661,39.7169,"420034,332747294","2204163,0908955"
Юг Руси,31,,,73,47.1987,39.69571,"419181,223468602","2202543,21117802"
